1	pianta mango
2	pianta mango
3	pianta mango
4	pianta mango
5	pianta mango
6	pianta mango
7	pianta mango
1	dove sono?
2	dove sono?
3	dove sono?
4	dove sono?
5	dove sono?
6	dove sono?
